0.121     0.598798     5.84019     0.801051     4.01921
0.122     0.5975     5.80886     0.800152     4.03683
0.123     0.596187     5.77828     0.799266     4.05462
0.124     0.59486     5.74772     0.798391     4.07258
0.125     0.593519     5.71796     0.797529     4.09071
0.126     0.592164     5.68844     0.796678     4.10902
0.127     0.590796     5.65921     0.795839     4.1275
0.128     0.589414     5.63069     0.795012     4.14616
0.129     0.588021     5.60206     0.794197     4.16501
0.13     0.586615     5.57446     0.793394     4.18403
0.131     0.585197     5.54673     0.792602     4.20325
0.132     0.583767     5.51973     0.791823     4.22264
0.133     0.582327     5.49284     0.791056     4.24223
0.134     0.580875     5.46646     0.7903     4.26202
0.135     0.579413     5.44037     0.789557     4.28199
0.136     0.577941     5.41463     0.788825     4.30216
0.137     0.576458     5.38928     0.788106     4.32253
0.138     0.574966     5.36422     0.787399     4.34311
0.139     0.573465     5.33954     0.786703     4.36388
0.14     0.571954     5.31516     0.78602     4.38487
0.141     0.570435     5.29111     0.785349     4.40606
0.142     0.568907     5.26743     0.78469     4.42746
0.143     0.567371     5.24394     0.784042     4.44908
0.144     0.565827     5.22098     0.783408     4.47092
0.145     0.564275     5.19799     0.782785     4.49297
0.146     0.562716     5.17575     0.782174     4.51524
0.147     0.561149     5.15323     0.781575     4.53774
0.148     0.559575     5.1317     0.780989     4.56047
0.149     0.557995     5.10994     0.780415     4.58343
0.15     0.556408     5.08876     0.779853     4.60662
0.151     0.554815     5.06777     0.779303     4.63004
0.152     0.553216     5.04689     0.778766     4.65371
0.153     0.551611     5.02666     0.77824     4.67762
0.154     0.55     5.00622     0.777727     4.70177
0.155     0.548384     4.98655     0.777227     4.72617
0.156     0.546763     4.96691     0.776738     4.75082
0.157     0.545137     4.94738     0.776262     4.77572
0.158     0.543506     4.92853     0.775799     4.80088
0.159     0.541871     4.9095     0.775347     4.8263
0.16     0.540231     4.89101     0.774908     4.85199
0.161     0.538587     4.87279     0.774482     4.87794
0.162     0.53694     4.85441     0.774068     4.90416
0.163     0.535288     4.83687     0.773666     4.93066
0.164     0.533633     4.81931     0.773277     4.95743
0.165     0.531975     4.80168     0.7729     4.98449
0.166     0.530313     4.78493     0.772536     5.01183
0.167     0.528649     4.76807     0.772184     5.03945
0.168     0.526982     4.75118     0.771845     5.06737
0.169     0.525312     4.73514     0.771518     5.09558
0.17     0.52364     4.71901     0.771204     5.12409
0.171     0.521965     4.70279     0.770903     5.1529
0.172     0.520289     4.68745     0.770614     5.18202
0.173     0.51861     4.67206     0.770338     5.21145
0.174     0.51693     4.65661     0.770074     5.2412
0.175     0.515248     4.64178     0.769823     5.27126
0.176     0.513565     4.62716     0.769585     5.30164
0.177     0.511881     4.6125     0.769359     5.33235
0.178     0.510195     4.59807     0.769146     5.36339
0.179     0.508509     4.58423     0.768946     5.39477
0.18     0.506822     4.57036     0.768759     5.42649
0.181     0.505134     4.55648     0.768584     5.45854
0.182     0.503446     4.54316     0.768422     5.49095
0.183     0.501758     4.5301     0.768273     5.52371
0.184     0.50007     4.51704     0.768137     5.55682
0.185     0.498382     4.50399     0.768013     5.5903
0.186     0.496694     4.49163     0.767903     5.62414
0.187     0.495007     4.47939     0.767805     5.65836
0.188     0.49332     4.46717     0.76772     5.69295
0.189     0.491633     4.45499     0.767647     5.72792
0.19     0.489948     4.44341     0.767588     5.76327
0.191     0.488264     4.43203     0.767542     5.79902
0.192     0.486581     4.4207     0.767508     5.83516
0.193     0.484899     4.40941     0.767487     5.8717
0.194     0.483219     4.39843     0.767479     5.90864
0.195     0.48154     4.38794     0.767484     5.946
0.196     0.479863     4.37751     0.767502     5.98377
0.197     0.478188     4.36716     0.767533     6.02196
0.198     0.476516     4.35688     0.767576     6.06058
0.199     0.474845     4.34701     0.767633     6.09964
0.2     0.473177     4.33751     0.767702     6.13913
0.201     0.471512     4.3281     0.767785     6.17906
0.202     0.469849     4.31878     0.76788     6.21945
0.203     0.468189     4.30955     0.767988     6.26028
0.204     0.466532     4.30054     0.768108     6.30158
0.205     0.464878     4.29208     0.768242     6.34335
0.206     0.463228     4.28372     0.768389     6.38559
0.207     0.461581     4.27548     0.768548     6.42831
0.208     0.459938     4.26736     0.76872     6.47151
0.209     0.458298     4.25936     0.768905     6.5152
0.21     0.456663     4.25153     0.769102     6.5594
0.211     0.455032     4.24427     0.769313     6.60409
0.212     0.453405     4.23714     0.769536     6.6493
0.213     0.451782     4.23015     0.769771     6.69502
0.214     0.450164     4.22329     0.77002     6.74127
0.215     0.448551     4.21659     0.77028     6.78805
0.216     0.446942     4.21003     0.770554     6.83536
0.217     0.445339     4.20364     0.77084     6.88322
0.218     0.443741     4.19769     0.771138     6.93163
0.219     0.442148     4.19199     0.771449     6.9806
0.22     0.440561     4.18645     0.771773     7.03014
0.221     0.438979     4.18108     0.772109     7.08024
0.222     0.437403     4.17587     0.772457     7.13093
0.223     0.435834     4.17085     0.772817     7.1822
0.224     0.434271     4.166     0.773189     7.23406
0.225     0.432714     4.16133     0.773574     7.28653
0.226     0.431163     4.15685     0.773971     7.33961
0.227     0.429619     4.15256     0.774379     7.39331
0.228     0.428082     4.14868     0.7748     7.44763
0.229     0.426553     4.14502     0.775232     7.50258
0.23     0.42503     4.14156     0.775677     7.55817
0.231     0.423515     4.13828     0.776133     7.61441
0.232     0.422007     4.1352     0.7766     7.67131
0.233     0.420507     4.13233     0.777079     7.72888
0.234     0.419015     4.12965     0.77757     7.78711
0.235     0.417531     4.12718     0.778071     7.84603
0.236     0.416056     4.12493     0.778584     7.90564
0.237     0.414589     4.12288     0.779108     7.96595
0.238     0.41313     4.12105     0.779643     8.02696
0.239     0.411681     4.11944     0.780189     8.08869
0.24     0.41024     4.11804     0.780746     8.15115
0.241     0.408809     4.11687     0.781313     8.21434
0.242     0.407387     4.11592     0.78189     8.27827
0.243     0.405974     4.1152     0.782478     8.34295
0.244     0.404571     4.1147     0.783077     8.40839
0.245     0.403179     4.11443     0.783685     8.4746
0.246     0.401796     4.11439     0.784303     8.54159
0.247     0.400424     4.11458     0.784931     8.60937
0.248     0.399062     4.115     0.785568     8.67795
0.249     0.397711     4.11565     0.786215     8.74733
0.25     0.396371     4.11654     0.786871     8.81754
0.251     0.395042     4.11765     0.787537     8.88856
0.252     0.393724     4.119     0.788211     8.96043
0.253     0.392418     4.12058     0.788893     9.03314
0.254     0.391123     4.12239     0.789585     9.10671
0.255     0.389841     4.12443     0.790284     9.18114
0.256     0.38857     4.12671     0.790992     9.25645
0.257     0.387312     4.12921     0.791707     9.33265
0.258     0.386066     4.13193     0.79243     9.40975
0.259     0.384833     4.13489     0.79316     9.48775
0.26     0.383613     4.13806     0.793898     9.56668
0.261     0.382406     4.14146     0.794643     9.64653
0.262     0.381213     4.14508     0.795394     9.72732
0.263     0.380032     4.14892     0.796152     9.80907
0.264     0.378866     4.15303     0.796916     9.89178
0.265     0.377713     4.15754     0.797686     9.97546
0.266     0.376575     4.16228     0.798461     10.0601
0.267     0.375451     4.16724     0.799242     10.1458
