0.01     0.2513663726     24.5412238     0.9809348198     1.017130132     5     -0.03623432982
0.0105     0.252640379     23.90452245     0.9801880828     1.017729982     5     -0.03758544409
0.011     0.2536848422     23.31106796     0.9794546305     1.018309892     5     -0.03890364631
0.0115     0.2545218531     22.75619068     0.9787337842     0.9787027482     0.9787711782     -0.04019013764
0.012     0.2551766535     22.24010225     0.978024596     0.9779949634     0.9780629379     -0.04144633013
0.0125     0.2556502339     21.74631376     0.9773273253     0.9772980645     0.9773654078     -0.04267258262
0.013     0.2559750511     21.28483594     0.9766404823     0.9766130375     0.9766800545     -0.0438707335
0.0135     0.2561598047     20.84867372     0.9759637823     0.9759371257     0.9760036393     -0.0450415709
0.014     0.2562173534     20.43564544     0.9752966669     0.9752710086     0.9753370823     -0.04618609971
0.0145     0.2561593324     20.04364527     0.9746385987     0.9746139029     0.9746795515     -0.04730528984
0.015     0.2559962922     19.67093378     0.9739890602     0.9739652927     0.9740305305     -0.04840007744
0.0155     0.2557378194     19.31594205     0.9733475532     0.973324681     0.9733895218     -0.04947136623
0.016     0.25539264     18.97735974     0.9727135975     0.9726915888     0.9727560462     -0.05052002864
0.0165     0.2549687104     18.65374595     0.9720867304     0.9720655547     0.9721296418     -0.05154690705
0.017     0.2544732957     18.34420122     0.9714665061     0.971446134     0.9715098634     -0.05255281483
0.0175     0.2539130394     18.04754446     0.9708524944     0.9708328979     0.9708962818     -0.05353853747
0.018     0.2532940245     17.76289876     0.9702442807     0.9702254324     0.9702884828     -0.05450483363
0.0185     0.252621827     17.48960236     0.9696414646     0.9696233386     0.9696860669     -0.05545243611
0.019     0.2519015637     17.22670306     0.9690436599     0.9690262311     0.9690886485     -0.05638205281
0.0195     0.2511379351     16.97359555     0.9684504936     0.9684337378     0.9684958552     -0.05729436774
0.02     0.2503352627     16.72969473     0.9678616053     0.9678454994     0.9679073272     -0.0581900418
0.0205     0.2494975232     16.49437005     0.967276647     0.9672611687     0.967322717     -0.05906971375
0.021     0.2486283787     16.26713596     0.9666952822     0.96668041     0.9667416887     -0.05993400096
0.0215     0.2477312041     16.04756007     0.9661171855     0.9661028988     0.9661639174     -0.06078350029
0.022     0.2468091112     15.83520091     0.9655420423     0.9655283212     0.9655890889     -0.06161878877
0.0225     0.2458649713     15.62957923     0.9649695478     0.9649563733     0.965016899     -0.06244042443
0.023     0.2449014349     15.43036881     0.9643994072     0.964386761     0.9644470533     -0.06324894697
0.0235     0.2439209499     15.2372191     0.963831335     0.9638191995     0.9638792667     -0.06404487844
0.024     0.242925778     15.04975901     0.9632650545     0.9632534126     0.9633132629     -0.06482872393
0.0245     0.2419180097     14.86782613     0.9627002974     0.9626891328     0.962748774     -0.0656009722
0.025     0.2408995776     14.69108266     0.9621368035     0.9621261006     0.9621855402     -0.06636209629
0.0255     0.2398722692     14.5192071     0.9615743206     0.9615640643     0.9616233097     -0.0671125541
0.026     0.2388377376     14.35198569     0.9610126037     0.9610027794     0.9610618377     -0.067852789
0.0265     0.2377975125     14.18935039     0.9604514148     0.9604420086     0.9605008867     -0.06858323031
0.027     0.2367530091     14.03090224     0.9598905228     0.9598815213     0.9599402259     -0.06930429392
0.0275     0.2357055369     13.87649396     0.959329703     0.9593210932     0.9593796308     -0.07001638269
0.028     0.2346563078     13.72596735     0.9587687368     0.9587605064     0.9588188832     -0.07071988705
0.0285     0.2336064431     13.57915428     0.9582074117     0.9581995487     0.9582577707     -0.07141518537
0.029     0.2325569804     13.43587799     0.9576455205     0.9576380134     0.9576960866     -0.0721026445
0.0295     0.2315088797     13.29595426     0.9570828615     0.9570756993     0.9571336293     -0.07278262016
0.03     0.2304630288     13.1592567     0.9565192382     0.9565124102     0.9565702026     -0.07345545734
0.0305     0.2294202492     13.02586505     0.9559544588     0.9559479548     0.9560056149     -0.07412149078
0.031     0.2283813     12.89531645     0.9553883362     0.9553821463     0.9554396794     -0.07478104529
0.0315     0.2273468832     12.76768311     0.9548206877     0.9548148025     0.9548722136     -0.07543443615
0.032     0.2263176472     12.64282915     0.9542513348     0.9542457453     0.9543030392     -0.0760819695
0.0325     0.2252941911     12.52062352     0.9536801031     0.9536748004     0.9537319819     -0.07672394265
0.033     0.2242770677     12.40090374     0.9531068218     0.9531017976     0.9531588713     -0.07736064442
0.0335     0.2232667871     12.283815     0.9525313239     0.9525265701     0.9525835405     -0.07799235551
0.034     0.2222638199     12.16896729     0.9519534458     0.9519489546     0.952005826     -0.07861934875
0.0345     0.2212685993     12.05632539     0.951373027     0.951368791     0.9514255676     -0.07924188947
0.035     0.2202815245     11.94611326     0.9507899102     0.9507859221     0.9508426082     -0.07986023573
0.0355     0.2193029626     11.83798107     0.950203941     0.950200194     0.9502567934     -0.08047463863
0.036     0.2183332511     11.73187441     0.9496149679     0.9496114553     0.9496679719     -0.08108534258
0.0365     0.2173726998     11.62774319     0.9490228417     0.9490195571     0.9490759947     -0.08169258558
0.037     0.2164215929     11.52553424     0.9484274158     0.9484243532     0.9484807154     -0.08229659944
0.0375     0.2154801908     11.42519139     0.947828546     0.9478256995     0.9478819899     -0.08289761005
0.038     0.2145487316     11.32665574     0.9472260902     0.947223454     0.9472796763     -0.08349583759
0.0385     0.2136274329     11.22986584     0.9466199083     0.9466174771     0.9466736344     -0.0840914968
0.039     0.2127164931     11.13475791     0.9460098621     0.9460076306     0.9460637264     -0.08468479715
0.0395     0.2118160928     11.04126608     0.9453958152     0.9453937785     0.9454498159     -0.08527594311
0.04     0.2109263963     10.94932261     0.9447776329     0.9447757861     0.9448317684     -0.08586513432
