0.01     0.293318     24.7342     0.979131     1.01983     1.5
0.011     0.299885     23.5182     0.977368     0.941596     1.5
0.012     0.305449     22.4532     0.97565     0.975557     1.5
0.013     0.310155     21.5109     0.973976     0.973888     1.01452
0.014     0.314122     20.6698     0.972342     0.972258     0.977218
0.015     0.317447     19.9132     0.970746     0.970666     0.975628
0.016     0.320213     19.2278     0.969186     0.96911     0.974075
0.017     0.322488     18.6031     0.96766     0.967587     0.972554
0.018     0.324333     18.0305     0.966164     0.966095     0.971064
0.019     0.325798     17.5032     0.964699     0.964633     0.969603
0.02     0.326928     17.0153     0.96326     0.963198     0.96817
0.021     0.327762     16.5623     0.961848     0.961788     0.966762
0.022     0.328332     16.1402     0.960459     0.960402     0.965378
0.023     0.32867     15.7454     0.959093     0.959039     0.964016
0.024     0.328801     15.3751     0.957747     0.957696     0.962675
0.025     0.328748     15.0269     0.956421     0.956372     0.961353
0.026     0.328532     14.6986     0.955113     0.955067     0.960049
0.027     0.328171     14.3884     0.953821     0.953777     0.958761
0.028     0.327682     14.0946     0.952545     0.952503     0.957488
0.029     0.32708     13.8156     0.951282     0.951243     0.956229
0.03     0.326377     13.5506     0.950033     0.949995     0.954983
0.031     0.325586     13.2981     0.948795     0.948759     0.953748
0.032     0.324717     13.0572     0.947568     0.947534     0.952524
0.033     0.32378     12.8271     0.94635     0.946318     0.951309
0.034     0.322783     12.6068     0.945141     0.945111     0.950102
0.035     0.321735     12.3958     0.943939     0.943911     0.948903
0.036     0.320642     12.1933     0.942744     0.942717     0.947711
0.037     0.319511     11.9987     0.941554     0.941529     0.946524
0.038     0.318348     11.8115     0.94037     0.940346     0.945341
0.039     0.317157     11.6315     0.939189     0.939167     0.944163
0.04     0.315945     11.4578     0.938012     0.937991     0.942988
0.041     0.314715     11.2904     0.936837     0.936818     0.941815
0.042     0.31347     11.1286     0.935664     0.935646     0.940644
0.043     0.312216     10.9722     0.934491     0.934474     0.939474
0.044     0.310955     10.8208     0.933319     0.933303     0.938303
0.045     0.30969     10.6744     0.932146     0.932132     0.937132
0.046     0.308424     10.5325     0.930972     0.930959     0.93596
0.047     0.30716     10.3948     0.929797     0.929785     0.934786
0.048     0.305899     10.2611     0.928619     0.928608     0.93361
0.049     0.304645     10.1315     0.927437     0.927427     0.93243
0.05     0.303398     10.0053     0.926252     0.926243     0.931247
0.051     0.302161     9.88287     0.925063     0.925055     0.930059
0.052     0.300934     9.76346     0.923869     0.923862     0.928867
0.053     0.299721     9.64745     0.92267     0.922663     0.927669
0.054     0.298522     9.5344     0.921464     0.921459     0.926465
0.055     0.297337     9.42414     0.920252     0.920248     0.925254
0.056     0.29617     9.31658     0.919033     0.919029     0.924037
0.057     0.29502     9.21166     0.917806     0.917804     0.922811
0.058     0.293888     9.10927     0.916571     0.91657     0.921578
0.059     0.292775     9.00932     0.915328     0.915327     0.920336
0.06     0.291683     8.91171     0.914075     0.914075     0.919084
0.061     0.290611     8.81635     0.912813     0.912814     0.917823
0.062     0.289562     8.7231     0.911541     0.911542     0.916552
0.063     0.288534     8.63187     0.910257     0.91026     0.91527
0.064     0.287529     8.54252     0.908963     0.908966     0.913977
0.065     0.286548     8.45494     0.907657     0.907661     0.912673
0.066     0.28559     8.36942     0.906339     0.906344     0.911356
0.067     0.284657     8.28562     0.905009     0.905014     0.910026
0.068     0.283749     8.20328     0.903665     0.903671     0.908684
0.069     0.282866     8.12283     0.902308     0.902314     0.907328
0.07     0.282008     8.04383     0.900937     0.900944     0.905958
0.071     0.281177     7.96627     0.899551     0.899558     0.904573
0.072     0.280372     7.89034     0.89815     0.898158     0.903173
0.073     0.279594     7.81563     0.896733     0.896742     0.901758
0.074     0.278843     7.74247     0.895301     0.89531     0.900326
0.075     0.27812     7.67053     0.893852     0.893862     0.898879
0.076     0.277424     7.59983     0.892386     0.892396     0.897414
0.077     0.276756     7.53055     0.890902     0.890913     0.895931
0.078     0.276117     7.46219     0.8894     0.889412     0.89443
0.079     0.275506     7.39527     0.88788     0.887892     0.892911
0.08     0.274924     7.32943     0.88634     0.886353     0.891373
0.081     0.274372     7.2645     0.884781     0.884795     0.889815
0.082     0.27385     7.20076     0.883201     0.883216     0.888236
0.083     0.273357     7.13819     0.8816     0.881616     0.886637
0.084     0.272895     7.0765     0.879979     0.879995     0.885016
0.085     0.272463     7.01568     0.878335     0.878352     0.883374
0.086     0.272062     6.95579     0.876668     0.876686     0.881709
0.087     0.271693     6.89711     0.874978     0.874997     0.88002
0.088     0.271355     6.83925     0.873265     0.873284     0.878308
0.089     0.27105     6.78222     0.871527     0.871547     0.876571
0.09     0.270777     6.726     0.869763     0.869784     0.874809
0.091     0.270537     6.67059     0.867974     0.867996     0.873022
0.092     0.270331     6.61597     0.866158     0.866181     0.871207
0.093     0.270159     6.56215     0.864315     0.864338     0.869366
0.094     0.270021     6.50909     0.862444     0.862468     0.867496
0.095     0.269918     6.4568     0.860544     0.860569     0.865598
0.096     0.269851     6.40531     0.858614     0.85864     0.86367
0.097     0.26982     6.35454     0.856654     0.856681     0.861711
0.098     0.269826     6.30445     0.854662     0.85469     0.859721
0.099     0.269869     6.25503     0.852638     0.852667     0.857699
0.1     0.269951     6.20627     0.850581     0.850611     0.855644
0.101     0.270071     6.15846     0.84849     0.848521     0.853555
0.102     0.270231     6.11101     0.846364     0.846395     0.851431
0.103     0.270432     6.06407     0.844201     0.844234     0.84927
0.104     0.270675     6.01802     0.842001     0.842035     0.847072
0.105     0.27096     5.9723     0.839763     0.839798     0.844836
